	      Cd	      Cl	      Cm
479	0.012288	0.3664	-0.0663
480	0.011823	0.2545	-0.0659
481	0.011933	0.0264	-0.0643
482	0.013135	-0.199	-0.062
483	0.015526	-0.4192	-0.0602
484	0.01997	-0.6155	-0.0595
485	0.027233	-0.7583	-0.0597
486	0.049332	-0.8217	-0.0534
487	0.074049	-0.8259	-0.0495
488	0.268558	-0.5182	0.0482
489	0.034354	-0.8008	-0.0594
490	0.023254	-0.6955	-0.0595
491	0.017344	-0.5201	-0.0597
492	0.014104	-0.31	-0.061
493	0.012344	-0.0909	-0.0631
494	0.01177	0.1403	-0.0652
495	0.011837	0.2525	-0.0659
496	0.012731	0.474	-0.0662
497	0.014065	0.6287	-0.065
498	0.020769	0.8799	-0.0559
499	0.027349	0.9295	-0.0513
500	0.015506	0.7236	-0.0631
501	0.017612	0.8107	-0.0601
502	0.011864	0.2543	-0.0659
503	0.012775	0.4748	-0.0662
504	0.012065	0.2531	-0.0656
505	0.012943	0.4721	-0.0658
506	0.015214	0.6743	-0.0635
507	0.019521	0.8384	-0.0577
508	0.019541	0.8381	-0.0577
509	0.03613	0.9458	-0.0489
510	0.066115	1.0102	-0.0481
511	0.053421	1.0199	-0.0452
512	0.053502	1.0173	-0.0453
513	0.057994	1.0274	-0.0442
514	0.076878	1.0369	-0.045
515	0.103065	1.0457	-0.0466
516	0.163884	1.0471	-0.0511
517	0.274363	0.9978	-0.0565
518	0.27408	0.9315	-0.0979
519	0.06325	0.9861	-0.0481
520	0.023895	0.8985	-0.053
521	0.016805	0.7616	-0.0612
522	0.013839	0.5747	-0.0651
523	0.012348	0.3638	-0.066
524	0.012022	0.1429	-0.0651
525	0.012851	-0.0877	-0.0632
526	0.014747	-0.3073	-0.0612
527	0.018607	-0.5174	-0.0601
528	0.030222	-0.7505	-0.0602
529	0.045635	-0.8116	-0.0539
530	0.287349	-0.5005	0.0474
531	0.036115	-0.7915	-0.0592
532	0.025373	-0.6898	-0.0602
533	0.021534	-0.6107	-0.0602
534	0.016387	-0.4139	-0.0605
535	0.013635	-0.1995	-0.0621
536	0.012267	0.0243	-0.0642
537	0.012035	0.2486	-0.0657
538	0.018216	0.8028	-0.0594
539	0.015915	0.7174	-0.0625
540	0.011521	0.2569	-0.0665
541	0.012312	0.4787	-0.067
542	0.014236	0.6889	-0.0655
543	0.017701	0.8681	-0.0609
544	0.026922	0.9898	-0.0519
545	0.056697	1.0458	-0.0508
546	0.050731	1.0525	-0.0464
547	0.116931	1.0568	-0.0475
548	0.146127	1.0552	-0.049
549	0.183545	1.044	-0.052
550	0.274345	0.9914	-0.0574
551	0.059396	1.0497	-0.0485
552	0.055819	1.0316	-0.051
553	0.020767	0.9393	-0.0569
554	0.015561	0.7827	-0.0638
555	0.013118	0.585	-0.0667
556	0.01182	0.3683	-0.067
557	0.01133	0.1471	-0.066
558	0.011899	-0.0893	-0.0636
559	0.013204	-0.3148	-0.0611
560	0.01569	-0.5354	-0.0591
561	0.020403	-0.7243	-0.0583
562	0.020382	-0.7244	-0.0583
563	0.045115	-0.8403	-0.0553
564	0.064322	-0.8682	-0.0446
565	0.097838	-0.8523	-0.0308
566	0.114158	-0.5876	0.065
567	0.024554	-0.7921	-0.0585
568	0.017679	-0.6357	-0.0585
569	0.014231	-0.4262	-0.0599
570	0.012383	-0.2039	-0.0622
571	0.011511	0.026	-0.0649
572	0.011543	0.2529	-0.0666
573	0.011395	0.2507	-0.0659
574	0.011969	0.4787	-0.0672
575	0.013076	0.6934	-0.0668
576	0.017445	0.8504	-0.0597
577	0.030782	0.959	-0.0506
578	0.042862	1.0135	-0.049
579	0.056893	1.0334	-0.0475
580	0.109098	1.0337	-0.0499
581	0.275042	0.9563	-0.0604
582	0.274365	0.9022	-0.0926
583	0.274712	0.9202	-0.0711
584	0.039256	1.0309	-0.0477
585	0.050963	0.9999	-0.0509
586	0.021162	0.9132	-0.0548
587	0.014736	0.7814	-0.0641
588	0.012426	0.5844	-0.0672
589	0.011276	0.0236	-0.0638
590	0.012347	-0.2033	-0.0612
591	0.014416	-0.4217	-0.0587
592	0.018056	-0.6209	-0.0572
593	0.028636	-0.759	-0.0555
594	0.066334	-0.8514	-0.0379
595	0.151862	-0.7413	-0.0049
596	0.042758	-0.8202	-0.0497
597	0.021045	-0.7024	-0.0569
598	0.016053	-0.5227	-0.0578
599	0.013301	-0.3115	-0.0599
600	0.011458	-0.0933	-0.0626
601	0.011279	0.1391	-0.065
602	0.011636	0.3624	-0.0667
603	0.013475	0.7388	-0.0661
604	0.012648	0.2508	-0.0654
605	0.013257	0.4707	-0.0662
606	0.014066	0.6813	-0.066
607	0.015624	0.8718	-0.0636
608	0.018691	1.0322	-0.0574
609	0.029414	1.1265	-0.049
610	0.060868	1.1169	-0.0454
611	0.092033	1.1064	-0.0469
612	0.149536	1.0986	-0.0519
613	0.274741	1.0332	-0.062
614	0.273956	1.015	-0.0768
615	0.045031	1.1526	-0.0486
616	0.022168	1.0832	-0.0529
617	0.016922	0.9578	-0.061
618	0.014794	0.7772	-0.0651
619	0.012399	0.0264	-0.0634
620	0.012539	-0.1986	-0.0612
621	0.013313	-0.415	-0.0589
622	0.01661	-0.6101	-0.0575
623	0.030139	-0.7451	-0.0545
624	0.059992	-0.8052	-0.0474
625	0.058664	-0.8167	-0.0364
626	0.080218	-0.8257	-0.0304
627	0.12928	-0.7845	-0.0203
628	0.201243	-0.6877	-0.005
629	0.019316	-0.6862	-0.0573
630	0.014831	-0.5159	-0.0581
631	0.012887	-0.3078	-0.0601
632	0.01258	-0.0871	-0.0624
633	0.012509	0.1385	-0.0643
634	0.012908	0.3556	-0.0657
635	0.013681	0.5754	-0.0662
636	0.012621	0.2472	-0.0652
637	0.012741	0.254	-0.0659
638	0.01346	0.4734	-0.066
639	0.015351	0.6765	-0.0636
640	0.019378	0.8444	-0.0579
641	0.033338	0.9559	-0.05
642	0.05807	1.0404	-0.0491
643	0.086716	1.051	-0.0461
644	0.122226	1.0643	-0.0458
645	0.156298	1.0649	-0.0487
646	0.208427	1.0561	-0.0538
647	0.274037	1.0136	-0.0622
648	0.096716	1.0552	-0.045
649	0.078982	1.0558	-0.0495
650	0.04059	1.0046	-0.0487
651	0.023406	0.9051	-0.0536
652	0.016876	0.7648	-0.0614
653	0.014298	0.5781	-0.0653
654	0.013047	0.3647	-0.0662
655	0.012855	0.1454	-0.0655
656	0.01358	-0.086	-0.0635
657	0.015571	-0.3057	-0.0614
658	0.019352	-0.5149	-0.0598
659	0.02655	-0.6772	-0.0592
660	0.04833	-0.7645	-0.0516
661	0.116917	-0.6789	-0.0255
662	0.275297	-0.4992	0.0471
663	0.035612	-0.7233	-0.0579
664	0.022227	-0.6032	-0.0594
665	0.017218	-0.4118	-0.0607
666	0.014422	-0.1974	-0.0624
667	0.013116	0.0273	-0.0646
668	0.012853	0.2502	-0.066
